Date,US,Dev_exUS,EM,BTC
2021-03-23,3910.52001953125,44.30060958862305,48.199153900146484,54738.9453125
2021-03-24,3889.139892578125,44.20259094238281,47.096473693847656,52774.265625
2021-03-25,3909.52001953125,44.38973617553711,47.315189361572266,51704.16015625
2021-03-26,3974.5400390625,44.9957389831543,48.54545593261719,55137.3125
2021-03-29,3971.090087890625,44.82640838623047,48.2082633972168,57750.19921875
2021-03-30,3958.550048828125,44.8709716796875,48.363197326660156,58917.69140625
2021-03-31,3972.889892578125,44.772945404052734,48.60923767089844,58918.83203125
2021-04-01,4019.8701171875,45.44132995605469,49.0831298828125,59095.80859375
2021-04-05,4077.909912109375,46.19883346557617,49.274497985839844,59057.87890625
2021-04-06,4073.93994140625,45.77107238769531,49.54789352416992,58192.359375
2021-04-07,4079.949951171875,45.84236145019531,48.818843841552734,56048.9375
2021-04-08,4097.169921875,46.15427780151367,49.219818115234375,58323.953125
2021-04-09,4128.7998046875,46.2790412902832,48.80061721801758,58245.00390625
2021-04-12,4127.990234375,46.03841781616211,48.50899124145508,59893.453125
2021-04-13,4141.58984375,46.29685974121094,48.70948791503906,63503.45703125
2021-04-14,4124.66015625,46.2523078918457,48.95553970336914,63109.6953125
2021-04-15,4170.419921875,46.66224670410156,49.4020881652832,63314.01171875
2021-04-16,4185.47021484375,47.22369384765625,49.529666900634766,61572.7890625
2021-04-19,4163.259765625,47.28607940673828,49.3474006652832,55724.265625
2021-04-20,4134.93994140625,46.448360443115234,48.94643020629883,56473.03125
2021-04-21,4173.419921875,46.92959976196289,49.24715805053711,53906.08984375
2021-04-22,4134.97998046875,46.72462844848633,49.074012756347656,51762.2734375
2021-04-23,4180.169921875,47.15239715576172,49.78483581542969,51093.65234375
2021-04-26,4187.6201171875,47.268253326416016,49.848628997802734,54021.75390625
2021-04-27,4186.72021484375,47.28607940673828,49.82128143310547,55033.1171875
2021-04-28,4183.18017578125,47.41083908081055,50.19492721557617,54824.703125
2021-04-29,4211.47021484375,47.44648742675781,50.07645797729492,53555.109375
2021-04-30,4181.169921875,46.787017822265625,49.192481994628906,57750.17578125
2021-05-03,4192.66015625,47.37519073486328,49.192481994628906,57200.29296875
2021-05-04,4164.66015625,46.5909538269043,48.6365852355957,53333.5390625
